index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,0.0
558468,27,7,29/12/2013,0,0,0,0,0,0.0
76950,404,3,19/03/2014,657,1,1,0,0,6242.13
77556,683,2,29/01/2013,862,1,0,0,0,7603.05
456344,920,3,19/03/2014,591,1,1,0,0,5586.78
436466,758,4,26/06/2014,569,1,0,0,0,4579.22
646251,563,1,16/02/2015,321,1,1,0,0,4213.89
650464,930,6,22/11/2014,1367,1,0,0,0,7578.01
162710,756,4,04/06/2015,0,0,1,a,0,0.0
100327,49,2,13/01/2015,546,1,1,0,0,7572.05
374540,787,4,23/07/2015,968,1,0,0,1,8253.13
399143,782,4,19/09/2013,472,1,0,0,0,4366.02
44740,897,7,20/04/2014,0,0,0,0,0,0.0
674144,933,1,09/12/2013,965,1,0,0,0,8633.85
81595,218,2,07/04/2015,804,1,0,0,1,6129.03
416724,554,3,09/10/2013,499,1,1,0,1,4412.1
632687,362,1,12/08/2013,1337,1,1,0,1,12473.18
351899,655,3,09/04/2014,560,1,0,0,0,5319.38
515940,785,3,31/12/2014,461,1,0,0,1,4539.33
567411,690,3,19/03/2014,866,1,1,0,0,7046.12
274598,1103,7,15/02/2015,0,0,0,0,0,0.0
417880,431,1,02/06/2014,1367,1,1,0,0,14445.45
453710,127,2,24/09/2013,642,1,1,0,0,6175.28
597622,579,5,29/03/2013,0,0,1,b,1,0.0
223346,248,6,03/08/2013,1139,1,0,0,0,8477.49
630018,962,6,11/01/2014,0,0,0,0,0,0.0
355860,224,2,26/03/2013,515,1,1,0,1,5987.86
360080,208,3,19/06/2013,355,1,1,0,1,2821.65
129544,401,1,30/03/2015,1063,1,1,0,0,12950.31
422545,503,7,29/09/2013,0,0,0,0,0,0.0
174199,221,4,05/03/2015,562,1,1,0,0,6169.99
118613,268,7,02/11/2014,0,0,0,0,0,0.0
60310,799,2,27/08/2013,927,1,1,0,1,9630.84
328458,260,6,25/10/2014,894,1,0,0,0,6618.56
200661,1041,2,10/03/2015,594,1,0,0,0,4898.11
179581,350,2,18/06/2013,533,1,1,0,0,6657.63
587612,286,7,05/04/2015,0,0,0,0,0,0.0
320169,620,2,04/06/2013,709,1,1,0,0,7974.85
37194,521,1,17/06/2013,484,1,1,0,0,6279.08
685427,649,4,27/11/2014,435,1,1,0,0,4414.26
125422,1059,2,02/06/2015,1239,1,1,0,0,10595.79
24499,486,6,28/06/2014,373,1,0,0,0,3546.09
281806,252,4,17/10/2013,642,1,0,0,0,7228.02
540511,656,3,15/05/2013,421,1,1,0,0,3568.42
28689,642,5,12/09/2014,394,1,0,0,0,2991.53
165066,655,5,08/05/2015,761,1,1,0,0,8687.11
555963,992,3,26/06/2013,627,1,0,0,0,5355.51
610614,143,2,02/06/2015,731,1,1,0,0,8239.44
64013,421,5,18/07/2014,941,1,1,0,1,9169.81
30639,246,4,02/10/2014,1157,1,1,0,0,9747.46
418604,960,1,28/04/2014,720,1,1,0,0,7904.54
468037,313,5,17/01/2014,697,1,0,0,0,6770.16
271589,291,6,29/06/2013,534,1,0,0,0,5557.18
77924,924,6,31/05/2014,333,1,0,0,0,3076.38
247149,337,2,13/08/2013,430,1,1,0,1,5723.53
576822,1024,4,12/03/2015,607,1,0,0,0,4681.81
108538,56,3,22/01/2014,402,1,1,0,0,5525.33
645670,507,3,09/04/2014,532,1,0,0,0,5631.58
601663,970,5,15/03/2013,406,1,0,0,0,3058.21
502588,846,2,23/06/2015,828,1,0,0,0,6987.12
66732,549,3,27/08/2014,582,1,0,0,0,4637.36
627113,1095,4,28/03/2013,852,1,1,0,1,8656.4
691184,859,5,12/04/2013,709,1,1,0,0,6814.37
467913,914,2,29/07/2014,1178,1,1,0,1,10278.23
304890,888,2,23/06/2015,634,1,0,0,0,6057.93
274018,442,2,04/11/2014,517,1,1,0,0,5863.33
644430,34,6,09/03/2013,905,1,0,0,0,7037.03
669009,199,4,10/07/2014,581,1,0,0,0,6314.47
518722,854,4,04/06/2015,657,1,1,a,0,6974.29
505976,611,2,21/01/2014,485,1,1,0,0,5958.4
291572,808,4,09/04/2015,528,1,0,0,1,5456.04
39071,1105,4,22/01/2015,410,1,0,0,0,4044.1
319154,866,5,24/04/2015,445,1,0,0,0,5142.25
166603,222,6,28/09/2013,367,1,0,0,0,3178.52
428262,476,2,24/09/2013,753,1,1,0,0,6906.25
20314,800,1,26/05/2014,494,1,0,0,0,4583.63
603091,330,1,24/03/2014,408,1,0,0,0,3731.35
500421,507,3,07/01/2015,648,1,1,0,0,7982.06
388016,98,7,02/06/2013,0,0,0,0,0,0.0
268257,1026,2,28/01/2014,1044,1,0,0,0,7279.37
216326,990,5,04/10/2013,719,1,0,0,0,6372.32
40755,8,6,10/01/2015,345,1,0,0,0,3016.31
8654,611,3,31/07/2013,566,1,1,0,1,6070.47
37301,257,2,13/08/2013,777,1,1,0,0,6819.34
485623,840,4,16/04/2015,1189,1,1,0,0,8719.87
214073,848,5,31/07/2015,998,1,1,0,1,9993.27
406145,124,6,12/07/2014,297,1,0,0,0,2511.2
397642,1028,2,31/12/2013,438,1,0,0,1,3680.49
273960,95,2,24/09/2013,1099,1,1,0,0,9685.73
12104,208,1,28/10/2013,323,1,0,0,0,2089.95
361202,249,2,08/07/2014,449,1,0,0,0,3919.31
79347,887,3,20/03/2013,614,1,1,0,0,7381.85
